,coefficient
favicon dns_record,-0.18335426276281772
request_url on_mouseover,-0.1806439429790389
prefix_suffix links_pointing_to_page,0.18033901841826108
shortening_service,-0.17981667705817195
request_url page_rank,0.17785041398737478
age_of_domain statistical_report,-0.17582155323451
favicon links_in_tags,-0.17500411395348656
page_rank links_pointing_to_page,-0.17364838289182058
submitting_to_email dns_record,-0.17134080280315986
having_at_symbol ssl_final_state,0.17116907734923978
redirect iframe,0.16829273991712707
double_slash_redirecting iframe,-0.16722394199337645
having_ip_address links_in_tags,0.16671005081878806
favicon request_url,-0.16587603299952258
https_token on_mouseover,-0.16272371423564824
request_url google_index,-0.1614710391578875
rightclick,0.16124615127925773
double_slash_redirecting statistical_report,0.16105355811556485
double_slash_redirecting rightclick,0.16099392379861355
url_of_anchor page_rank,-0.15948504025212942
prefix_suffix dns_record,-0.15569021341882397
url_length ssl_final_state,-0.15540316668835877
having_at_symbol having_sub_domain,-0.15447106969783167
having_sub_domain links_pointing_to_page,-0.15436249988761144
submitting_to_email google_index,-0.1532396596263295
prefix_suffix iframe,0.15191534710606955
ssl_final_state request_url,-0.15133320573118267
favicon iframe,0.1504456531449172
server_form_handler google_index,0.14689025732038594
https_token rightclick,-0.1463330445391713
links_in_tags iframe,0.14504799188757944
domain_registration_length abnormal_url,0.14492495140569878
having_ip_address https_token,-0.14163606195456324
https_token submitting_to_email,-0.14160393168710528
submitting_to_email abnormal_url,0.13840426479892612
double_slash_redirecting popup_window,-0.13827482892225584
prefix_suffix port,-0.1373415769112131
on_mouseover web_traffic,-0.13668403912312824
https_token popup_window,-0.13562349175704808
request_url server_form_handler,0.1351985607107603
links_in_tags on_mouseover,-0.13449328804303856
domain_registration_length popup_window,-0.13393690821020426
shortening_service on_mouseover,0.1326232474808176
double_slash_redirecting on_mouseover,-0.12927155918298025
request_url dns_record,-0.12765468156320545
iframe statistical_report,-0.12712932297104504
url_of_anchor web_traffic,0.12350933899269746
abnormal_url iframe,0.12337114310720833
ssl_final_state rightclick,0.1221311156359556
prefix_suffix statistical_report,0.12046543363447282
favicon server_form_handler,0.11967167434434735
abnormal_url rightclick,0.11902400829476108
port abnormal_url,0.1172046378694826
prefix_suffix favicon,0.11683889269331017
popup_window statistical_report,-0.1152579737176374
double_slash_redirecting favicon,-0.114046499260628
port age_of_domain,0.11394365712318573
iframe google_index,-0.11211117164173007
submitting_to_email,-0.11182995824487968
server_form_handler dns_record,-0.11136672277859122
double_slash_redirecting google_index,-0.11061338353291411
favicon redirect,-0.10854842167607286
having_sub_domain age_of_domain,-0.10809606784441642
request_url abnormal_url,-0.10765291604971326
favicon rightclick,-0.10497958875943841
favicon on_mouseover,0.10477254853270905
having_ip_address popup_window,-0.10435422369226686
domain_registration_length web_traffic,-0.10428476154345154
double_slash_redirecting https_token,0.10373244325580704
double_slash_redirecting redirect,0.10371726947741881
abnormal_url statistical_report,-0.10176976599123802
https_token page_rank,0.10082553318559005
shortening_service rightclick,-0.09941585914215247
prefix_suffix submitting_to_email,0.09899489641861657
having_sub_domain links_in_tags,-0.09889705250352282
favicon links_pointing_to_page,0.096756449185007
domain_registration_length links_in_tags,0.09625220108760997
shortening_service abnormal_url,0.09596703279167355
having_sub_domain abnormal_url,0.09567425728601377
